Unnamed: 0,question_text,question_tokens,answer
117,where is arkansas river located on a map,"['where', 'is', 'arkansas', 'river', 'located', 'on', 'a', 'map']"," The Arkansas River flows through Colorado , Kansas , Oklahoma , and Arkansas , and its watershed also drains parts of Texas , New Mexico and Missouri ."
118,who plays nicholas in the princess diaries 2,"['who', 'plays', 'nicholas', 'in', 'the', 'princess', 'diaries', '2']", Chris Pine
122,the p-wave phase of an electrocardiogram (ecg) represents,"['the', 'p-wave', 'phase', 'of', 'an', 'electrocardiogram', '(', 'ecg', ')', 'represents']", atrial depolarization
123,when did star trek the next generation first air,"['when', 'did', 'star', 'trek', 'the', 'next', 'generation', 'first', 'air']"," September 28 , 1987"
132,who sang the most wonderful summer of my life,"['who', 'sang', 'the', 'most', 'wonderful', 'summer', 'of', 'my', 'life']", Jackie Ward
137,how many oscars did on golden pond win,"['how', 'many', 'oscars', 'did', 'on', 'golden', 'pond', 'win']", three
139,who won season 4 of america's got talent,"['who', 'won', 'season', '4', 'of', 'america', ""'s"", 'got', 'talent']", Kevin Skinner
140,how many episodes on queen of the south season 1,"['how', 'many', 'episodes', 'on', 'queen', 'of', 'the', 'south', 'season', '1']", 13
143,who is the existing prime minister of pakistan,"['who', 'is', 'the', 'existing', 'prime', 'minister', 'of', 'pakistan']", Imran Khan
144,who is known as the father of texas,"['who', 'is', 'known', 'as', 'the', 'father', 'of', 'texas']", Stephen Fuller Austin
146,what is the orange stuff on my sushi,"['what', 'is', 'the', 'orange', 'stuff', 'on', 'my', 'sushi']", tobiko
149,when did nsw last won a state of origin series,"['when', 'did', 'nsw', 'last', 'won', 'a', 'state', 'of', 'origin', 'series']", 2018
150,when does life is strange before the storm part 2,"['when', 'does', 'life', 'is', 'strange', 'before', 'the', 'storm', 'part', '2']", October 2017
152,where is sodom and gomorrah located in the bible,"['where', 'is', 'sodom', 'and', 'gomorrah', 'located', 'in', 'the', 'bible']", on the Jordan River plain in the southern region of the land of Canaan
154,when did the xbox 360 slim come out,"['when', 'did', 'the', 'xbox', '360', 'slim', 'come', 'out']", in 2010
166,who spread the theory that one is a product of the mind and body,"['who', 'spread', 'the', 'theory', 'that', 'one', 'is', 'a', 'product', 'of', 'the', 'mind', 'and', 'body']", René Descartes
168,how many goals scored ronaldo in his career,"['how', 'many', 'goals', 'scored', 'ronaldo', 'in', 'his', 'career']", over 670
176,who played tess on touched by an angel,"['who', 'played', 'tess', 'on', 'touched', 'by', 'an', 'angel']"," Delloreese Patricia Early ( July 6 , 1931 -- November 19 , 2017 ) , known professionally as Della Reese"
178,when did the hornets move to new orleans,"['when', 'did', 'the', 'hornets', 'move', 'to', 'new', 'orleans']", 2002 -- 03 season
186,fish appeared in the fossil record during the,"['fish', 'appeared', 'in', 'the', 'fossil', 'record', 'during', 'the']", the Cambrian explosion
190,who died from the band faith no more,"['who', 'died', 'from', 'the', 'band', 'faith', 'no', 'more']", singer Chuck Mosley
193,who signed the gun control act of 1968,"['who', 'signed', 'the', 'gun', 'control', 'act', 'of', '1968']", President Lyndon B. Johnson
195,where do frankenstein and the monster first meet,"['where', 'do', 'frankenstein', 'and', 'the', 'monster', 'first', 'meet']", the mountains
196,the human tendency to mimic other people’s behavior is an example of,"['the', 'human', 'tendency', 'to', 'mimic', 'other', 'people', ""'s"", 'behavior', 'is', 'an', 'example', 'of']", Mirroring
197,when does season five of the killing come out,"['when', 'does', 'season', 'five', 'of', 'the', 'killing', 'come', 'out']", a fourth season consisting of six episodes to conclude the series
199,how is the head of the church of england,"['how', 'is', 'the', 'head', 'of', 'the', 'church', 'of', 'england']", the monarch is the supreme governor
205,how to remove a methyl group from benzene,"['how', 'to', 'remove', 'a', 'methyl', 'group', 'from', 'benzene']", replacement of a methyl group by a hydrogen atom
207,what does a nose ring mean in india,"['what', 'does', 'a', 'nose', 'ring', 'mean', 'in', 'india']"," a mark of beauty and social standing as well as a Hindu 's honor to Parvati , the goddess of marriage"
209,the cuban missile crisis began in 1962 when which country placed nuclear missiles in cuba,"['the', 'cuban', 'missile', 'crisis', 'began', 'in', '1962', 'when', 'which', 'country', 'placed', 'nuclear', 'missiles', 'in', 'cuba']", Soviet Union
212,when did fasb codification become authoritative u.s. gaap,"['when', 'did', 'fasb', 'codification', 'become', 'authoritative', 'u.s.', 'gaap']"," after September 15 , 2009"
213,who plays frank in f is for family,"['who', 'plays', 'frank', 'in', 'f', 'is', 'for', 'family']", Bill Burr
216,android operating system was acquired by google in,"['android', 'operating', 'system', 'was', 'acquired', 'by', 'google', 'in']", July 2005
217,where does the flexor digitorum superficialis distally attach,"['where', 'does', 'the', 'flexor', 'digitorum', 'superficialis', 'distally', 'attach']", The tendons attach to the anterior margins on the bases of the intermediate phalanges of the four fingers . These tendons have a split ( Camper 's Chiasm ) at the end of them through which the tendons of flexor digitorum profundus pass .
219,who played daniel in the bible mini series,"['who', 'played', 'daniel', 'in', 'the', 'bible', 'mini', 'series']", Jake Canuso
221,what does the star on the ghana flag mean,"['what', 'does', 'the', 'star', 'on', 'the', 'ghana', 'flag', 'mean']"," adopted from the flag of the Black Star Line , a shipping line incorporated by Marcus Garvey that operated from 1919 to 1922"
222,when is the last movie of divergent coming out,"['when', 'is', 'the', 'last', 'movie', 'of', 'divergent', 'coming', 'out']", TBA
223,the former peterlee campus of east durham college,"['the', 'former', 'peterlee', 'campus', 'of', 'east', 'durham', 'college']", East Durham & Houghall Community College
225,the amount of light reflected from the front surface of common window glass is about,"['the', 'amount', 'of', 'light', 'reflected', 'from', 'the', 'front', 'surface', 'of', 'common', 'window', 'glass', 'is', 'about']", about 4 % per surface
227,how many cm is a 24 inch tv,"['how', 'many', 'cm', 'is', 'a', '24', 'inch', 'tv']", 61
233,where was the walking dead season 7 filmed,"['where', 'was', 'the', 'walking', 'dead', 'season', '7', 'filmed']", Georgia
236,who plays male lead in far from the madding crowd,"['who', 'plays', 'male', 'lead', 'in', 'far', 'from', 'the', 'madding', 'crowd']", Carey Mulligan
241,who is in the cast of the handmaid's tale,"['who', 'is', 'in', 'the', 'cast', 'of', 'the', 'handmaid', ""'s"", 'tale']", Elisabeth Moss
242,who owned the first casino in las vegas,"['who', 'owned', 'the', 'first', 'casino', 'in', 'las', 'vegas']", local Las Vegas business owners
244,who is the lead singer of portugal the man,"['who', 'is', 'the', 'lead', 'singer', 'of', 'portugal', 'the', 'man']", John Baldwin Gourley
253,who does billy russo become on the punisher,"['who', 'does', 'billy', 'russo', 'become', 'on', 'the', 'punisher']", Jigsaw
255,who was the founder of chick fil a,"['who', 'was', 'the', 'founder', 'of', 'chick', 'fil', 'a']", S. Truett Cathy
256,when was asbestos first found to be dangerous,"['when', 'was', 'asbestos', 'first', 'found', 'to', 'be', 'dangerous']", began with the 20th century and escalated during the 1920s and 1930s
257,where is the black box located on an airplane,"['where', 'is', 'the', 'black', 'box', 'located', 'on', 'an', 'airplane']", usually mounted in the aircraft 's tail section
267,when did the brewers go to national league,"['when', 'did', 'the', 'brewers', 'go', 'to', 'national', 'league']", 1998
268,who are the songwriters for the greatest showman,"['who', 'are', 'the', 'songwriters', 'for', 'the', 'greatest', 'showman']", Benj Pasek
269,who plays dylan in now you see me,"['who', 'plays', 'dylan', 'in', 'now', 'you', 'see', 'me']", Mark Ruffalo
270,where was the ark of the covenant taken,"['where', 'was', 'the', 'ark', 'of', 'the', 'covenant', 'taken']", Kiriath - Jearim
271,harrow on the hill height above sea level,"['harrow', 'on', 'the', 'hill', 'height', 'above', 'sea', 'level']", 124 metres ( 408 ft )
272,who plays hitler in man in the high castle,"['who', 'plays', 'hitler', 'in', 'man', 'in', 'the', 'high', 'castle']", Wolf Muser
273,lowest city below sea level in the world,"['lowest', 'city', 'below', 'sea', 'level', 'in', 'the', 'world']"," Jericho , West Bank"
275,who voiced jack in rise of the guardians,"['who', 'voiced', 'jack', 'in', 'rise', 'of', 'the', 'guardians']", Chris Pine
277,what type of hybrid is the ford fusion,"['what', 'type', 'of', 'hybrid', 'is', 'the', 'ford', 'fusion']", gasoline - electric
280,how many states is there in united states,"['how', 'many', 'states', 'is', 'there', 'in', 'united', 'states']", 50
281,what is the first harry potter book called in england,"['what', 'is', 'the', 'first', 'harry', 'potter', 'book', 'called', 'in', 'england']", Harry Potter and the Philosopher 's Stone
282,when did montgomery ward's go out of business,"['when', 'did', 'montgomery', 'ward', ""'s"", 'go', 'out', 'of', 'business']", 2001
283,who won series 7 of great british bake off,"['who', 'won', 'series', '7', 'of', 'great', 'british', 'bake', 'off']", Candice Brown
284,who does the voice of special ed on crank yankers,"['who', 'does', 'the', 'voice', 'of', 'special', 'ed', 'on', 'crank', 'yankers']", Jim Florentine
287,what does the ministry of trade and industry do,"['what', 'does', 'the', 'ministry', 'of', 'trade', 'and', 'industry', 'do']", directs the formulation of policies related to the development of trade and industry in Singapore
289,who sings nothings gonna hurt you baby,"['who', 'sings', 'nothings', 'gon', 'na', 'hurt', 'you', 'baby']", Cigarettes After Sex
290,where in the bible does it talk about manna from heaven,"['where', 'in', 'the', 'bible', 'does', 'it', 'talk', 'about', 'manna', 'from', 'heaven']", Exodus 16 : 1 -- 36
291,winds that blow predominantly from the northeast and the southeast are the,"['winds', 'that', 'blow', 'predominantly', 'from', 'the', 'northeast', 'and', 'the', 'southeast', 'are', 'the']", The trade winds
297,what is the use of symbolic link in linux,"['what', 'is', 'the', 'use', 'of', 'symbolic', 'link', 'in', 'linux']", to reorder the file system hierarchy
299,time after time song was in what movie,"['time', 'after', 'time', 'song', 'was', 'in', 'what', 'movie']", John Tucker Must Die
305,who sings i'm the one your mother warned you about,"['who', 'sings', 'i', ""'m"", 'the', 'one', 'your', 'mother', 'warned', 'you', 'about']", Mickey Gilley
307,who is considered a foreign official under fcpa,"['who', 'is', 'considered', 'a', 'foreign', 'official', 'under', 'fcpa']"," any officer or employee of a foreign government or any department , agency , or instrumentality thereof , or of a public international organization , or any person acting in an official capacity for or on behalf of any such government or department , agency , or instrumentality , or for or on behalf of any such public international organization"
309,who made the song london bridge is falling down,"['who', 'made', 'the', 'song', 'london', 'bridge', 'is', 'falling', 'down']", Unknown
310,when does love simon come out in canada,"['when', 'does', 'love', 'simon', 'come', 'out', 'in', 'canada']"," March 16 , 2018"
317,what were the major components of clays american system,"['what', 'were', 'the', 'major', 'components', 'of', 'clays', 'american', 'system']", a tariff to protect and promote American industry
318,where was pirates of the carribean on stranger tides filmed,"['where', 'was', 'pirates', 'of', 'the', 'carribean', 'on', 'stranger', 'tides', 'filmed']"," Principal photography began on June 14 , 2010 , in Hawaii . Filming was moved to California in August 2010 , primarily at the Long Beach shore and a recreation of Whitecap Bay done in the Universal Studios backlot , as the original Hawaiian location on Halona Cove was plagued with strong tides . After a brief shoot in Puerto Rico , with locations in both Palomino Island and the Fort of San Cristóbal in San Juan , production moved to the United Kingdom in September , where principal photography wrapped on November 18 after 106 days of shooting . Locations included Hampton Court Palace in London , Knole House in Kent , and Old Royal Naval College at Greenwich . Interiors were shot at London 's Pinewood Studios , and a replica of an 18th - century London street was built on the backlot alongside the soundstages"
325,who sings i wanna be like you jungle book,"['who', 'sings', 'i', 'wan', 'na', 'be', 'like', 'you', 'jungle', 'book']", Louis Prima
327,who wrote the book of philippians in the bible,"['who', 'wrote', 'the', 'book', 'of', 'philippians', 'in', 'the', 'bible']", Paul of Tarsus
330,who sold more albums carrie underwood vs kelly clarkson,"['who', 'sold', 'more', 'albums', 'carrie', 'underwood', 'vs', 'kelly', 'clarkson']", Carrie Underwood
331,who is the oldest child in queen sugar,"['who', 'is', 'the', 'oldest', 'child', 'in', 'queen', 'sugar']", Nova Bordelon
332,when did second world war start and end,"['when', 'did', 'second', 'world', 'war', 'start', 'and', 'end']", 1 September 1939 -- 2 September 1945
340,a spider with a skull on its back,"['a', 'spider', 'with', 'a', 'skull', 'on', 'its', 'back']", Steatoda nobilis
349,when did the waltz become popular in england,"['when', 'did', 'the', 'waltz', 'become', 'popular', 'in', 'england']", the Regency period
352,what is expelled out of the body as faeces through the anus,"['what', 'is', 'expelled', 'out', 'of', 'the', 'body', 'as', 'faeces', 'through', 'the', 'anus']"," solid , semisolid , or liquid waste material"
357,who was the chief guest of the official ceremony in the republic day,"['who', 'was', 'the', 'chief', 'guest', 'of', 'the', 'official', 'ceremony', 'in', 'the', 'republic', 'day']", Crown Prince Mohammed bin Zayed Al Nahyan
365,who wrote the practice of the presence of god,"['who', 'wrote', 'the', 'practice', 'of', 'the', 'presence', 'of', 'god']"," Brother Lawrence ( born Nicholas Herman ) , a 17th - century Carmelite monk"
367,what cities have been capital of the united states,"['what', 'cities', 'have', 'been', 'capital', 'of', 'the', 'united', 'states']", New York City
372,when did india conduct the nuclear test at pokhran,"['when', 'did', 'india', 'conduct', 'the', 'nuclear', 'test', 'at', 'pokhran']", May 1998
373,nhl record for shots on goal in a game,"['nhl', 'record', 'for', 'shots', 'on', 'goal', 'in', 'a', 'game']"," Ray Bourque ( March 21 , 1991 ) , 19"
374,where does the sagging pants trend come from,"['where', 'does', 'the', 'sagging', 'pants', 'trend', 'come', 'from']", 1990s
375,who has played in the most nba finals games,"['who', 'has', 'played', 'in', 'the', 'most', 'nba', 'finals', 'games']", Bill Russell
378,moment of inertia of a rod about a point,"['moment', 'of', 'inertia', 'of', 'a', 'rod', 'about', 'a', 'point']", radius of gyration
380,list of hum tv dramas based on novels,"['list', 'of', 'hum', 'tv', 'dramas', 'based', 'on', 'novels']", Dayar - e-Dil
381,when does mark show up in grey anatomy,"['when', 'does', 'mark', 'show', 'up', 'in', 'grey', 'anatomy']", season two
384,where is the iguazu falls located on a map,"['where', 'is', 'the', 'iguazu', 'falls', 'located', 'on', 'a', 'map']", on the border of the Argentine province of Misiones and the Brazilian state of Paraná
385,in the 1st century bc egypt became a colony of,"['in', 'the', '1st', 'century', 'bc', 'egypt', 'became', 'a', 'colony', 'of']", the Roman Empire
387,who is the cheif minister of uttar pradesh up,"['who', 'is', 'the', 'cheif', 'minister', 'of', 'uttar', 'pradesh', 'up']", Yogi Adityanath
388,who played jono on star trek next generation,"['who', 'played', 'jono', 'on', 'star', 'trek', 'next', 'generation']", Chad Allen
390,this bear lives in the hundred acre wood,"['this', 'bear', 'lives', 'in', 'the', 'hundred', 'acre', 'wood']", Winnie - the - Pooh
398,what is the holy book of lslam called,"['what', 'is', 'the', 'holy', 'book', 'of', 'lslam', 'called']", Quran
409,who won the women's championship at wimbledon this year,"['who', 'won', 'the', 'women', ""'s"", 'championship', 'at', 'wimbledon', 'this', 'year']", Garbiñe Muguruza
415,who won second place in miss universe 2017,"['who', 'won', 'second', 'place', 'in', 'miss', 'universe', '2017']", Laura González
417,when does the new wheel of fortune season start,"['when', 'does', 'the', 'new', 'wheel', 'of', 'fortune', 'season', 'start']"," September 10 , 2018"
422,who has been elected next president of united nations 2018,"['who', 'has', 'been', 'elected', 'next', 'president', 'of', 'united', 'nations', '2018']", María Fernanda Espinosa
424,when was the myers briggs type indicator developed,"['when', 'was', 'the', 'myers', 'briggs', 'type', 'indicator', 'developed']", during World War II
425,when was the last time australia won the rugby world cup,"['when', 'was', 'the', 'last', 'time', 'australia', 'won', 'the', 'rugby', 'world', 'cup']", 1999
428,where was the movie it's complicated filmed,"['where', 'was', 'the', 'movie', 'it', ""'s"", 'complicated', 'filmed']", New York City
435,who wrote the story for the shape of water,"['who', 'wrote', 'the', 'story', 'for', 'the', 'shape', 'of', 'water']", Guillermo del Toro
437,when do fifty shades of freed come out,"['when', 'do', 'fifty', 'shades', 'of', 'freed', 'come', 'out']"," February 9 , 2018"
444,where is the lighthouse in lighthouse point fl,"['where', 'is', 'the', 'lighthouse', 'in', 'lighthouse', 'point', 'fl']", Hillsboro Beach
445,who founded the first university in the world,"['who', 'founded', 'the', 'first', 'university', 'in', 'the', 'world']", Fatima bint Muhammad Al - Fihriya Al - Qurashiya
448,when did tiger win his last pga tournament,"['when', 'did', 'tiger', 'win', 'his', 'last', 'pga', 'tournament']", 2007
450,who wrote aerosmith i don't want to miss a thing,"['who', 'wrote', 'aerosmith', 'i', 'do', 'n', ""'t"", 'want', 'to', 'miss', 'a', 'thing']", Diane Warren
459,what was the capital of brazil before brasilia,"['what', 'was', 'the', 'capital', 'of', 'brazil', 'before', 'brasilia']", Rio de Janeiro
460,where was the kath and kim movie filmed,"['where', 'was', 'the', 'kath', 'and', 'kim', 'movie', 'filmed']", Positano
462,what is red's real name on that 70's show,"['what', 'is', 'red', ""'s"", 'real', 'name', 'on', 'that', '70', ""'s"", 'show']", Reginald Albert `` Red '' Forman
470,when did nhl start 3 on 3 overtime,"['when', 'did', 'nhl', 'start', '3', 'on', '3', 'overtime']", 2015 -- 16 NHL season
471,who is the founder of red cross society,"['who', 'is', 'the', 'founder', 'of', 'red', 'cross', 'society']", Henry Dunant
472,what are the three rivers of pittsburgh pennsylvania,"['what', 'are', 'the', 'three', 'rivers', 'of', 'pittsburgh', 'pennsylvania']", Allegheny
476,what were the two super powers during the cold war,"['what', 'were', 'the', 'two', 'super', 'powers', 'during', 'the', 'cold', 'war']", Soviet Union
477,at present who is the speaker of lok sabha,"['at', 'present', 'who', 'is', 'the', 'speaker', 'of', 'lok', 'sabha']", Sumitra Mahajan
478,who voices the faceless old woman who secretly lives in your home,"['who', 'voices', 'the', 'faceless', 'old', 'woman', 'who', 'secretly', 'lives', 'in', 'your', 'home']", Mara Wilson
481,when did sweet dreams are made of this come out,"['when', 'did', 'sweet', 'dreams', 'are', 'made', 'of', 'this', 'come', 'out']", 1983
482,when were catholic churches allowed back in england,"['when', 'were', 'catholic', 'churches', 'allowed', 'back', 'in', 'england']", Dioceses ( replacing districts ) were re-established by Pope Pius IX in 1850
484,who plays wendy the waitress in how i met your mother,"['who', 'plays', 'wendy', 'the', 'waitress', 'in', 'how', 'i', 'met', 'your', 'mother']", Charlene Amoia
486,where did the night at the museum take place,"['where', 'did', 'the', 'night', 'at', 'the', 'museum', 'take', 'place']", New York City 's American Museum of Natural History
492,what are freshmen called at the air force academy,"['what', 'are', 'freshmen', 'called', 'at', 'the', 'air', 'force', 'academy']", Fourth class cadets
500,how many gold medals did nz win in the 2018 commonwealth,"['how', 'many', 'gold', 'medals', 'did', 'nz', 'win', 'in', 'the', '2018', 'commonwealth']", 46
501,who is the actor playing terry on general hospital,"['who', 'is', 'the', 'actor', 'playing', 'terry', 'on', 'general', 'hospital']", Cassandra James
505,who is the leader of the state government in australia,"['who', 'is', 'the', 'leader', 'of', 'the', 'state', 'government', 'in', 'australia']", the Queen of Australia
506,when was national food security act introduced in rajasthan,"['when', 'was', 'national', 'food', 'security', 'act', 'introduced', 'in', 'rajasthan']", 22 December 2011
507,good morning america what time does it start,"['good', 'morning', 'america', 'what', 'time', 'does', 'it', 'start']", 7 : 00 to 9 : 00 a.m. in all U.S. time zones ( live in the Eastern Time Zone and on tape delay elsewhere across the country )
513,what are the main sources of vitamin k,"['what', 'are', 'the', 'main', 'sources', 'of', 'vitamin', 'k']", green leafy vegetables
514,when did the edwardian era start and end,"['when', 'did', 'the', 'edwardian', 'era', 'start', 'and', 'end']", 1901 to 1910
519,what was the copperheads position on fighting the war,"['what', 'was', 'the', 'copperheads', 'position', 'on', 'fighting', 'the', 'war']", opposed the American Civil War and wanted an immediate peace settlement with the Confederates
521,when was rudolph the red nosed reindeer written,"['when', 'was', 'rudolph', 'the', 'red', 'nosed', 'reindeer', 'written']", 1939
527,when does season 3 of lucifer come out,"['when', 'does', 'season', '3', 'of', 'lucifer', 'come', 'out']"," October 2 , 2017"
529,what kind of currency is used in new zealand,"['what', 'kind', 'of', 'currency', 'is', 'used', 'in', 'new', 'zealand']", New Zealand dollar
531,when was the last time mount shasta was active,"['when', 'was', 'the', 'last', 'time', 'mount', 'shasta', 'was', 'active']", about two centuries ago
539,which is first dawn of the planet of the apes or rise of the planet of the apes,"['which', 'is', 'first', 'dawn', 'of', 'the', 'planet', 'of', 'the', 'apes', 'or', 'rise', 'of', 'the', 'planet', 'of', 'the', 'apes']", Rise of the Planet of the Apes
543,coriolosis component of acceleration can be found in,"['coriolosis', 'component', 'of', 'acceleration', 'can', 'be', 'found', 'in']", the Earth
547,who sings i always feel like somebody's watching me,"['who', 'sings', 'i', 'always', 'feel', 'like', 'somebody', ""'s"", 'watching', 'me']", TRU
548,where is lebron on the all time scoring list,"['where', 'is', 'lebron', 'on', 'the', 'all', 'time', 'scoring', 'list']", 7
549,who wrote there's nothing holdin me back,"['who', 'wrote', 'there', ""'s"", 'nothing', 'holdin', 'me', 'back']", Shawn Mendes
550,when was silicon added to the periodic table,"['when', 'was', 'silicon', 'added', 'to', 'the', 'periodic', 'table']", 1823
555,where do the golden knights hockey team play,"['where', 'do', 'the', 'golden', 'knights', 'hockey', 'team', 'play']"," at T - Mobile Arena on the Las Vegas Strip in Paradise , Nevada"
556,where is black sea located in the world,"['where', 'is', 'black', 'sea', 'located', 'in', 'the', 'world']"," between Eastern Europe , the Caucasus , and Western Asia"
558,when can a person be held for a capital crime without benefit of presentment,"['when', 'can', 'a', 'person', 'be', 'held', 'for', 'a', 'capital', 'crime', 'without', 'benefit', 'of', 'presentment']"," in cases arising in the land or naval forces , or in the Militia , when in actual service in time of War or public danger"
560,when was central statistical organisation of india established,"['when', 'was', 'central', 'statistical', 'organisation', 'of', 'india', 'established']", 2 May 1951
564,who plays red's voice in angry birds,"['who', 'plays', 'red', ""'s"", 'voice', 'in', 'angry', 'birds']", Jason Sudeikis
