question_text,question_tokens,predicted_parametric_answers,answer,Unnamed: 0
actor who plays justin in home and away,"['actor', 'who', 'plays', 'justin', 'in', 'home', 'and', 'away']",james stewart, James Stewart,2410
actor who plays king george in the crown,"['actor', 'who', 'plays', 'king', 'george', 'in', 'the', 'crown']",jared francis harris, Jared Francis Harris,2067
actor who provided the voice for scar in the lion king,"['actor', 'who', 'provided', 'the', 'voice', 'for', 'scar', 'in', 'the', 'lion', 'king']",jeremy irons, Jeremy Irons,4335
agitator wash technique is used in which type of washing machine,"['agitator', 'wash', 'technique', 'is', 'used', 'in', 'which', 'type', 'of', 'washing', 'machine']",top load washing machine, top load washing machine,3047
an active protein enzyme in the stomach that begins the chemical digestion of protein is called,"['an', 'active', 'protein', 'enzyme', 'in', 'the', 'stomach', 'that', 'begins', 'the', 'chemical', 'digestion', 'of', 'protein', 'is', 'called']",digestion is the breakdown of large insoluble food molecules into small water soluble food molecules so that they can be absorbed into the watery blood plasma in certain organisms these smaller substances are absorbed through the small intestine into the blood stream digestion is a form of catabolism that is often divided into two processes based on how food is broken down mechanical and chemical digestion the term mechanical digestion refers to the physical breakdown of large pieces of food into smaller pieces which can subsequently be accessed by digestive enzymes, digestive enzymes,4339
an external cost or external benefit is also known as,"['an', 'external', 'cost', 'or', 'external', 'benefit', 'is', 'also', 'known', 'as']",spillover effects, spillover effects,4734
an idiopathic condition associated with asprin treatment during certain viral infections,"['an', 'idiopathic', 'condition', 'associated', 'with', 'asprin', 'treatment', 'during', 'certain', 'viral', 'infections']",reye syndrome, Reye syndrome,211
angola and mozambique were once colonies of which country,"['angola', 'and', 'mozambique', 'were', 'once', 'colonies', 'of', 'which', 'country']",southwestern africa, Portugal,3183
anjali tarak mehta ka ooltah chashmah real name,"['anjali', 'tarak', 'mehta', 'ka', 'ooltah', 'chashmah', 'real', 'name']",neha mehta, Neha Mehta,2663
are pure metals made of atoms or ions,"['are', 'pure', 'metals', 'made', 'of', 'atoms', 'or', 'ions']",atoms, atoms,83
art that depicts forms in the natural world,"['art', 'that', 'depicts', 'forms', 'in', 'the', 'natural', 'world']",environmental art, Environmental art,6033
at what coordinates is the iceland hotspot located,"['at', 'what', 'coordinates', 'is', 'the', 'iceland', 'hotspot', 'located']",iceland hotspot is a hotspot which is partly responsible for the high volcanic activity which has formed the island of iceland, The Iceland hotspot is a hotspot which is partly responsible for the high volcanic activity which has formed the island of Iceland .,5255
at what level is the clavicle with reference to the ribs,"['at', 'what', 'level', 'is', 'the', 'clavicle', 'with', 'reference', 'to', 'the', 'ribs']",directly above the first rib, directly above the first rib,277
author of the nymph reply to the shepherd,"['author', 'of', 'the', 'nymph', 'reply', 'to', 'the', 'shepherd']",walter raleigh, Walter Raleigh,31
benefits of the aswan high dam in egypt,"['benefits', 'of', 'the', 'aswan', 'high', 'dam', 'in', 'egypt']",control flooding better provide increased water storage for irrigation and generate hydroelectricity, ability to control flooding better,4060
biggest lake in the us borders which states,"['biggest', 'lake', 'in', 'the', 'us', 'borders', 'which', 'states']",canadian provinces mexican states th th colspan area th th type th th notes th tr tr td td td lake superior, Michigan,5084
bridge on the river kwai fact or fiction,"['bridge', 'on', 'the', 'river', 'kwai', 'fact', 'or', 'fiction']",fiction, fiction,58
bridget jones diary who does she end up with,"['bridget', 'jones', 'diary', 'who', 'does', 'she', 'end', 'up', 'with']",mark, Mark,2853
by what name did the portuguese call the region that we now know as mumbai,"['by', 'what', 'name', 'did', 'the', 'portuguese', 'call', 'the', 'region', 'that', 'we', 'now', 'know', 'as', 'mumbai']",bombay, Bombay,3512
call me by your name us release date,"['call', 'me', 'by', 'your', 'name', 'us', 'release', 'date']",," November 24 , 2017",3999
cast of just the way you are bruno mars,"['cast', 'of', 'just', 'the', 'way', 'you', 'are', 'bruno', 'mars']",nathalie kelley lander, Nathalie Kelley,5470
cell wall of bryophyta is made up of,"['cell', 'wall', 'of', 'bryophyta', 'is', 'made', 'up', 'of']",cellulose, cellulose,3848
chief justice of the federal court of australia,"['chief', 'justice', 'of', 'the', 'federal', 'court', 'of', 'australia']",, James Allsop AO,3849
city of central india capital of the state of chhattisgarh,"['city', 'of', 'central', 'india', 'capital', 'of', 'the', 'state', 'of', 'chhattisgarh']",raipur, Raipur,1934
country with the lowest unemployment rate in the world,"['country', 'with', 'the', 'lowest', 'unemployment', 'rate', 'in', 'the', 'world']",afghanistan, Cambodia,4177
current birth rate and death rate in india,"['current', 'birth', 'rate', 'and', 'death', 'rate', 'in', 'india']",births," 19.3 births / 1,000 population ( 2016 est . )",1482
currently how many supreme court justices are there,"['currently', 'how', 'many', 'supreme', 'court', 'justices', 'are', 'there']",nine, nine,1513
different types of oils that can be used with an oio lens,"['different', 'types', 'of', 'oils', 'that', 'can', 'be', 'used', 'with', 'an', 'oio', 'lens']",cedar tree oil, cedar tree oil,2998
distance from las vegas to red wood forest,"['distance', 'from', 'las', 'vegas', 'to', 'red', 'wood', 'forest']",miles km, 15 miles,1852
division of the brainstem that connects the medulla with the cerebellum,"['division', 'of', 'the', 'brainstem', 'that', 'connects', 'the', 'medulla', 'with', 'the', 'cerebellum']",pons, The pons,2627
during which phase of meiosis do homologous chromosomes exchange segments,"['during', 'which', 'phase', 'of', 'meiosis', 'do', 'homologous', 'chromosomes', 'exchange', 'segments']",prophase i, pachytene stage of prophase I,3187
eaps were originally designed to help employees that had what type of problem,"['eaps', 'were', 'originally', 'designed', 'to', 'help', 'employees', 'that', 'had', 'what', 'type', 'of', 'problem']",personal problems and or work related problems that may impact their job performance health mental and emotional well being, personal problems and / or work - related problems,6018
eight furlongs are equal to what standard length,"['eight', 'furlongs', 'are', 'equal', 'to', 'what', 'standard', 'length']",feet yards, 660 feet,2966
english queen who never set foot in england,"['english', 'queen', 'who', 'never', 'set', 'foot', 'in', 'england']",berengaria, Berengaria,956
essex town used to house the terminus of the london underground,"['essex', 'town', 'used', 'to', 'house', 'the', 'terminus', 'of', 'the', 'london', 'underground']",epping essex," Epping , Essex",4534
executive director of the american civil liberties union of virginia,"['executive', 'director', 'of', 'the', 'american', 'civil', 'liberties', 'union', 'of', 'virginia']",susan n herman, Anthony Romero,4212
explain the significance of french revolution in the history of french,"['explain', 'the', 'significance', 'of', 'french', 'revolution', 'in', 'the', 'history', 'of', 'french']",overthrew the monarchy, overthrew the monarchy,468
famous marathon runner who died of a heart attack,"['famous', 'marathon', 'runner', 'who', 'died', 'of', 'a', 'heart', 'attack']",james fuller jim fixx, James Fuller `` Jim '' Fixx,1647
first person to sail around the world by the clipper route,"['first', 'person', 'to', 'sail', 'around', 'the', 'world', 'by', 'the', 'clipper', 'route']",joshua slocum, Joshua Slocum,3334
five stages in the consumer purchase decision process,"['five', 'stages', 'in', 'the', 'consumer', 'purchase', 'decision', 'process']",problem need recognition, Problem / Need Recognition,4404
flag with red white and blue and one star,"['flag', 'with', 'red', 'white', 'and', 'blue', 'and', 'one', 'star']",country of chile, Chilean,749
french onion soup in french how to say,"['french', 'onion', 'soup', 'in', 'french', 'how', 'to', 'say']",soupe l oignon la parisienne, Soupe à l'oignon à la Parisienne,3031
from where east india company entered in india,"['from', 'where', 'east', 'india', 'company', 'entered', 'in', 'india']",bantam, Surat,3236
game where you type in something and it appears,"['game', 'where', 'you', 'type', 'in', 'something', 'and', 'it', 'appears']",scribblenauts, Scribblenauts,1636
girl with the pink hair on nick jr,"['girl', 'with', 'the', 'pink', 'hair', 'on', 'nick', 'jr']",stephanie, Stephanie,5965
give two places in the body that produce lipases,"['give', 'two', 'places', 'in', 'the', 'body', 'that', 'produce', 'lipases']",, pancreas,5894
going to the place in the sky song,"['going', 'to', 'the', 'place', 'in', 'the', 'sky', 'song']",spirit in the sky, Spirit in the Sky,2841
greek meat dish served in a pita with tzatziki,"['greek', 'meat', 'dish', 'served', 'in', 'a', 'pita', 'with', 'tzatziki']",, Gyros ( γύρος ),4237
hagia sophia is an example of which style of architecture,"['hagia', 'sophia', 'is', 'an', 'example', 'of', 'which', 'style', 'of', 'architecture']",holy wisdom latin sancta sophia or sancta sapientia turkish ayasofya, Byzantine,1480
hallmark most wonderful time of the year cast,"['hallmark', 'most', 'wonderful', 'time', 'of', 'the', 'year', 'cast']",brooke burns, Brooke Burns,3740
held office longer than any previous texas governor,"['held', 'office', 'longer', 'than', 'any', 'previous', 'texas', 'governor']",rick perry, Former Governor Rick Perry,4185
highest grossing malayalam movies of all time wiki,"['highest', 'grossing', 'malayalam', 'movies', 'of', 'all', 'time', 'wiki']",pulimurugan, Pulimurugan,4333
how big is the shark in the movie the shallows,"['how', 'big', 'is', 'the', 'shark', 'in', 'the', 'movie', 'the', 'shallows']",humpback whale, large,2701
how did charcot marie tooth disease get its name,"['how', 'did', 'charcot', 'marie', 'tooth', 'disease', 'get', 'its', 'name']",after those who classically described it jean martin charcot, named after those who classically described it,4043
how did kurtz die in the heart of darkness,"['how', 'did', 'kurtz', 'die', 'in', 'the', 'heart', 'of', 'darkness']",exterminate all the brutes he induces the natives to worship him setting up rituals and venerations worthy of a tyrant by the time marlow the protagonist sees kurtz he is ill with jungle fever, jungle fever,4480
how did tony toni tone get their name,"['how', 'did', 'tony', 'toni', 'tone', 'get', 'their', 'name']",joke," the band went by `` Tony , Toni , Toné '' as a joke",2671
how did wolverine get his adamantium back after magneto removes it,"['how', 'did', 'wolverine', 'get', 'his', 'adamantium', 'back', 'after', 'magneto', 'removes', 'it']",apocalypse rebonded it to his skeleton, Apocalypse rebonded it to his skeleton,2510
how do you pass an amendment to the constitution,"['how', 'do', 'you', 'pass', 'an', 'amendment', 'to', 'the', 'constitution']",proposing an amendment or amendments and subsequent ratification amendments may be proposed either by the congress, must be ratified by either -- as determined by Congress -- the legislatures of three - quarters of the states or state ratifying conventions in three - quarters of the states,440
how does a red dot gun sight work,"['how', 'does', 'a', 'red', 'dot', 'gun', 'sight', 'work']",uses a red light emitting diode led at the focus of collimating optics, uses a red light - emitting diode ( LED ) at the focus of collimating optics which generates a dot style illuminated reticle that stays in alignment with the weapon the sight is attached to regardless of eye position ( nearly parallax free ),5125
how far is north bend wa from seattle wa,"['how', 'far', 'is', 'north', 'bend', 'wa', 'from', 'seattle', 'wa']",miles km, 31 miles ( 50 km ),666
how far is pasadena ca from los angeles ca,"['how', 'far', 'is', 'pasadena', 'ca', 'from', 'los', 'angeles', 'ca']",miles kilometers, 10 miles,725
how far is tappahannock virginia from richmond virginia,"['how', 'far', 'is', 'tappahannock', 'virginia', 'from', 'richmond', 'virginia']",miles km, 45 miles ( 72 km ),4057
how long did it take to build great pyramid of giza,"['how', 'long', 'did', 'it', 'take', 'to', 'build', 'great', 'pyramid', 'of', 'giza']",years, 20 years,800
how long did lord of the rings take to make,"['how', 'long', 'did', 'lord', 'of', 'the', 'rings', 'take', 'to', 'make']",eight, eight years,5038
how long do gliders stay in the air,"['how', 'long', 'do', 'gliders', 'stay', 'in', 'the', 'air']",hours, can stay airborne for hours,17
how long does it take potassium cyanide to kill you,"['how', 'long', 'does', 'it', 'take', 'potassium', 'cyanide', 'to', 'kill', 'you']",within a few minutes, within a few minutes of ingesting the substance,3788
how long has the show blue bloods been on tv,"['how', 'long', 'has', 'the', 'show', 'blue', 'bloods', 'been', 'on', 'tv']",ninth," September 24 , 2010",6126
how long is the edolas arc in fairy tail,"['how', 'long', 'is', 'the', 'edolas', 'arc', 'in', 'fairy', 'tail']",two, 24 episodes,2764
how long is the legend of korra game,"['how', 'long', 'is', 'the', 'legend', 'of', 'korra', 'game']",about four to six hours, about four to six hours,1915
how long is the movie alice in wonderland,"['how', 'long', 'is', 'the', 'movie', 'alice', 'in', 'wonderland']",, 75 minutes,5240
how long will it take voyager to pass through the oort cloud,"['how', 'long', 'will', 'it', 'take', 'voyager', 'to', 'pass', 'through', 'the', 'oort', 'cloud']",about years," about 30,000 years",207
how many american citizens live in the united states,"['how', 'many', 'american', 'citizens', 'live', 'in', 'the', 'united', 'states']",c million, 308 million,4550
how many anne of green gables books are there,"['how', 'many', 'anne', 'of', 'green', 'gables', 'books', 'are', 'there']",," Ana of California : A Novel ( 2015 ) , by Andi Teran , is a `` contemporary spin on Anne of Green Gables .",533
how many books are in the narnia series,"['how', 'many', 'books', 'are', 'in', 'the', 'narnia', 'series']",seven, seven,898
how many books are lord of the rings,"['how', 'many', 'books', 'are', 'lord', 'of', 'the', 'rings']",six, six,3448
how many chemicals are in a cup of coffee,"['how', 'many', 'chemicals', 'are', 'in', 'a', 'cup', 'of', 'coffee']",more than," More than 1,000",3898
how many copies did fifty shades of grey sell,"['how', 'many', 'copies', 'did', 'fifty', 'shades', 'of', 'grey', 'sell']",over million, over 125 million copies,266
how many countries can i visit with british passport,"['how', 'many', 'countries', 'can', 'i', 'visit', 'with', 'british', 'passport']",countries and territories, 186 countries and territories,600
how many days from full moon to full moon,"['how', 'many', 'days', 'from', 'full', 'moon', 'to', 'full', 'moon']",about days, averages about 29.53 days,2804
how many divisions are there in minor league baseball,"['how', 'many', 'divisions', 'are', 'there', 'in', 'minor', 'league', 'baseball']",five, five,4691
how many employees does department of education have,"['how', 'many', 'employees', 'does', 'department', 'of', 'education', 'have']",approximately," approximately 4,400",407
how many episodes in the killing on netflix,"['how', 'many', 'episodes', 'in', 'the', 'killing', 'on', 'netflix']",six, six episodes,2729
how many eyes do orb weaver spiders have,"['how', 'many', 'eyes', 'do', 'orb', 'weaver', 'spiders', 'have']",eight, eight,2174
how many florida state players are in the hall of fame,"['how', 'many', 'florida', 'state', 'players', 'are', 'in', 'the', 'hall', 'of', 'fame']",six, six,4725
how many goals have c ronaldo scored in his career,"['how', 'many', 'goals', 'have', 'c', 'ronaldo', 'scored', 'in', 'his', 'career']",five, over 670 senior career goals,1507
how many halloween micheal myers movies are there,"['how', 'many', 'halloween', 'micheal', 'myers', 'movies', 'are', 'there']",eleven, eleven,1680
how many harry potter rides are there at universal orlando,"['how', 'many', 'harry', 'potter', 'rides', 'are', 'there', 'at', 'universal', 'orlando']",four, four,4691
how many home depot stores are there in the us,"['how', 'many', 'home', 'depot', 'stores', 'are', 'there', 'in', 'the', 'us']",over," over 2,000",565
how many justices currently serve on the us supreme court,"['how', 'many', 'justices', 'currently', 'serve', 'on', 'the', 'us', 'supreme', 'court']",nine, nine,1688
how many letters are in the hawaii alphabet,"['how', 'many', 'letters', 'are', 'in', 'the', 'hawaii', 'alphabet']",thirteen, thirteen,5166
how many miles out is considered international waters,"['how', 'many', 'miles', 'out', 'is', 'considered', 'international', 'waters']",nautical miles, 12 nautical miles,1147
how many miles out to sea is international waters,"['how', 'many', 'miles', 'out', 'to', 'sea', 'is', 'international', 'waters']",nautical miles km mi, 12 nautical miles,2008
how many mlb players are in the hall of fame,"['how', 'many', 'mlb', 'players', 'are', 'in', 'the', 'hall', 'of', 'fame']",roughly, 323 people,335
how many molecules of atp does anaerobic metabolism produce,"['how', 'many', 'molecules', 'of', 'atp', 'does', 'anaerobic', 'metabolism', 'produce']",molecules atp per molecule glucose, 2 molecules ATP per 1 molecule glucose,1074
how many numbers in a spanish phone number,"['how', 'many', 'numbers', 'in', 'a', 'spanish', 'phone', 'number']",nine, nine,1315
how many olympic metals did johnny weir win,"['how', 'many', 'olympic', 'metals', 'did', 'johnny', 'weir', 'win']",two, two,10
how many pages is invisible man by ralph ellison,"['how', 'many', 'pages', 'is', 'invisible', 'man', 'by', 'ralph', 'ellison']",, 581 ( second edition ),2882
how many pages is the average tax return,"['how', 'many', 'pages', 'is', 'the', 'average', 'tax', 'return']",two, two full pages ( 79 lines in total ) not counting attachments,654
how many parts does chronicles of narnia have,"['how', 'many', 'parts', 'does', 'chronicles', 'of', 'narnia', 'have']",seven, seven,1137
how many peoples bank branches in sri lanka,"['how', 'many', 'peoples', 'bank', 'branches', 'in', 'sri', 'lanka']",network of, 737 local branches and Service Centers,3880
how many planned parenthood locations are there in the united states,"['how', 'many', 'planned', 'parenthood', 'locations', 'are', 'there', 'in', 'the', 'united', 'states']",two, more than 700,3856
how many players is fortnite save the world,"['how', 'many', 'players', 'is', 'fortnite', 'save', 'the', 'world']",four, up to four players,5171
how many resorts are at walt disney world,"['how', 'many', 'resorts', 'are', 'at', 'walt', 'disney', 'world']",twenty seven, twenty - seven themed resort hotels,1834
how many rounds did the vegas shooter have,"['how', 'many', 'rounds', 'did', 'the', 'vegas', 'shooter', 'have']",more than," 1,100 rounds",4277
how many season of breakout kings are there,"['how', 'many', 'season', 'of', 'breakout', 'kings', 'are', 'there']",two, two,2891
how many seasons are there of knight rider,"['how', 'many', 'seasons', 'are', 'there', 'of', 'knight', 'rider']",four, four,914
how many seasons are there of the leftovers,"['how', 'many', 'seasons', 'are', 'there', 'of', 'the', 'leftovers']",, third and final season,5379
how many seasons of sex and the coty are there,"['how', 'many', 'seasons', 'of', 'sex', 'and', 'the', 'coty', 'are', 'there']",twenty, six,4895
how many seasons of the vicar of dibley are there,"['how', 'many', 'seasons', 'of', 'the', 'vicar', 'of', 'dibley', 'are', 'there']",two, two,6097
how many sets of twins do the duggars have,"['how', 'many', 'sets', 'of', 'twins', 'do', 'the', 'duggars', 'have']",, twice with twins,2039
how many songs did the grateful dead play,"['how', 'many', 'songs', 'did', 'the', 'grateful', 'dead', 'play']",million people more than any other band with audiences of up to attending a single, songs documented to have been played by the band exceeds 500,2695
how many species of plants are found in india,"['how', 'many', 'species', 'of', 'plants', 'are', 'found', 'in', 'india']",over," more than 50,000",271
how many stars are on the ohio state flag,"['how', 'many', 'stars', 'are', 'on', 'the', 'ohio', 'state', 'flag']",seventeen, seventeen,4837
how many stars in the milky way nasa,"['how', 'many', 'stars', 'in', 'the', 'milky', 'way', 'nasa']",billion, 100 -- 400 billion,5275
how many states border an ocean in the united states,"['how', 'many', 'states', 'border', 'an', 'ocean', 'in', 'the', 'united', 'states']",thirty states have a coastline twenty three, twenty - three,2956
how many states do you need to ratify an amendment,"['how', 'many', 'states', 'do', 'you', 'need', 'to', 'ratify', 'an', 'amendment']",three quarters, three - quarters of the states,3364
how many super bowl wins do giants have,"['how', 'many', 'super', 'bowl', 'wins', 'do', 'giants', 'have']",eight, four,4697
how many teams are in the world cup in russia,"['how', 'many', 'teams', 'are', 'in', 'the', 'world', 'cup', 'in', 'russia']",teams, 32 teams,3689
how many terminals are there at vienna airport,"['how', 'many', 'terminals', 'are', 'there', 'at', 'vienna', 'airport']",four, four,2709
how many times do teams play each other in the nba playoffs,"['how', 'many', 'times', 'do', 'teams', 'play', 'each', 'other', 'in', 'the', 'nba', 'playoffs']",seven, best - of - seven,5153
how many times has everton won the fa cup,"['how', 'many', 'times', 'has', 'everton', 'won', 'the', 'fa', 'cup']",nine, five,4375
how many total pin codes are there in india,"['how', 'many', 'total', 'pin', 'codes', 'are', 'there', 'in', 'india']",nine, nine,1206
how many us opens have been at shinnecock hills,"['how', 'many', 'us', 'opens', 'have', 'been', 'at', 'shinnecock', 'hills']",five, five,4713
how many wars has pakistan fought with india,"['how', 'many', 'wars', 'has', 'pakistan', 'fought', 'with', 'india']",four, four,2967
how many wimbledon titles does roger federer have,"['how', 'many', 'wimbledon', 'titles', 'does', 'roger', 'federer', 'have']",eight, eight,3757
how many workers died building the golden gate,"['how', 'many', 'workers', 'died', 'building', 'the', 'golden', 'gate']",eleven, eleven,3599
how much does a golf cart weigh with batteries,"['how', 'much', 'does', 'a', 'golf', 'cart', 'weigh', 'with', 'batteries']",pounds," 900 pounds ( 410 kg ) to 1,000 pounds ( 450 kg )",2434
how much light does the sun give off,"['how', 'much', 'light', 'does', 'the', 'sun', 'give', 'off']",approximately lux, approximately 98 000 lux ( lumens per square meter ),247
how often does the united states attempt to count every person in the country,"['how', 'often', 'does', 'the', 'united', 'states', 'attempt', 'to', 'count', 'every', 'person', 'in', 'the', 'country']",ten years, every subsequent Term of ten Years,2951
how old was michael myers when he killed his older sister,"['how', 'old', 'was', 'michael', 'myers', 'when', 'he', 'killed', 'his', 'older', 'sister']",six, six,3256
how to name the intersection of a line and a plane,"['how', 'to', 'name', 'the', 'intersection', 'of', 'a', 'line', 'and', 'a', 'plane']",the empty set a point or a line, empty set,5344
how to use cloud storage on android phone,"['how', 'to', 'use', 'cloud', 'storage', 'on', 'android', 'phone']",facilitate synchronization of user files across multiple platforms part of the process for setting up new mobile devices frequently includes configuring a cloud storage service to backup the device s files and information apple ios devices come pre loaded and configured to use apple s mobile cloud storage service icloud google offers a similar feature with the android operating system by backing up the device using a google drive account, using a Google Drive account,3129
how to write the number of elements in a set,"['how', 'to', 'write', 'the', 'number', 'of', 'elements', 'in', 'a', 'set']",x a b c and y apples oranges peaches," X = ( a , b , c )",3418
i want to hold your hand b side,"['i', 'want', 'to', 'hold', 'your', 'hand', 'b', 'side']",, This Boy '' ( UK ),1738
if a corporation is formed then the owners are known as,"['if', 'a', 'corporation', 'is', 'formed', 'then', 'the', 'owners', 'are', 'known', 'as']",stockholders or shareholders, `` stockholders '' or `` shareholders '',5143
if you are from dubai what are you called,"['if', 'you', 'are', 'from', 'dubai', 'what', 'are', 'you', 'called']",emirati, Emirati,3085
in india money bill is certified by whom,"['in', 'india', 'money', 'bill', 'is', 'certified', 'by', 'whom']",president of india, Speaker of the Lok Sabha,68
in law the main reason for complaint or accusation,"['in', 'law', 'the', 'main', 'reason', 'for', 'complaint', 'or', 'accusation']",because of action, Cause of Action,4740
in microsoft office the area where file management occurs is called the,"['in', 'microsoft', 'office', 'the', 'area', 'where', 'file', 'management', 'occurs', 'is', 'called', 'the']",backstage view, Backstage view,5103
in mythology son of ares bound to fiery wheel,"['in', 'mythology', 'son', 'of', 'ares', 'bound', 'to', 'fiery', 'wheel']",ixion, Ixion,3998
in texas what is the minimum blood alcohol concentration level in order to be considered intoxicated,"['in', 'texas', 'what', 'is', 'the', 'minimum', 'blood', 'alcohol', 'concentration', 'level', 'in', 'order', 'to', 'be', 'considered', 'intoxicated']",percent or higher, 0.08 percent or higher,1048
in what bce year did the assyrian empire destroy the northern kingdom of israel,"['in', 'what', 'bce', 'year', 'did', 'the', 'assyrian', 'empire', 'destroy', 'the', 'northern', 'kingdom', 'of', 'israel']",bce, 722 BCE,2761
in which city royal observatory greenwich is situated,"['in', 'which', 'city', 'royal', 'observatory', 'greenwich', 'is', 'situated']",greenwich royal borough of greenwich united kingdom, Greenwich,3178
in which place the danish started the trading centre in india,"['in', 'which', 'place', 'the', 'danish', 'started', 'the', 'trading', 'centre', 'in', 'india']",nayak of tanjore now thanjavur in tamil, Tranquebar,5437
in which volume tristam shandy finally recount his birth,"['in', 'which', 'volume', 'tristam', 'shandy', 'finally', 'recount', 'his', 'birth']",volume iii, Volume III,2887
inclusion bodies formation of syncytia and change in cell shape are examples of,"['inclusion', 'bodies', 'formation', 'of', 'syncytia', 'and', 'change', 'in', 'cell', 'shape', 'are', 'examples', 'of']",cytopathic effect, Cytopathic effect,3342
indian cricketer inducted in icc hall of fame,"['indian', 'cricketer', 'inducted', 'in', 'icc', 'hall', 'of', 'fame']",curtly ambrose, Bishan Singh Bedi,1559
inflammation of the lymph nodes can be caused by what,"['inflammation', 'of', 'the', 'lymph', 'nodes', 'can', 'be', 'caused', 'by', 'what']",lymphadenopathy, Lymphadenopathy,5806
insurance policies may be classified as contracts of,"['insurance', 'policies', 'may', 'be', 'classified', 'as', 'contracts', 'of']",adhesion, adhesion,1563
is california in the north east south or west,"['is', 'california', 'in', 'the', 'north', 'east', 'south', 'or', 'west']",, West,1248
is call me by your name in english or italian,"['is', 'call', 'me', 'by', 'your', 'name', 'in', 'english', 'or', 'italian']",, English,5523
is newcastle upon tyne in scotland or england,"['is', 'newcastle', 'upon', 'tyne', 'in', 'scotland', 'or', 'england']",tyne and wear north east england, England,2009
is paris the city of love or the city of lights,"['is', 'paris', 'the', 'city', 'of', 'love', 'or', 'the', 'city', 'of', 'lights']",light, The City of Light ( La Ville Lumière ),5561
is the black death an epidemic or pandemic,"['is', 'the', 'black', 'death', 'an', 'epidemic', 'or', 'pandemic']",pandemics, pandemics,1334
is the disney movie brave irish or scottish,"['is', 'the', 'disney', 'movie', 'brave', 'irish', 'or', 'scottish']",scottish, Scottish,5259
is the eiffel tower made of steel or iron,"['is', 'the', 'eiffel', 'tower', 'made', 'of', 'steel', 'or', 'iron']",wrought iron, wrought iron,238
is the governor of illinois a democrat or a republican,"['is', 'the', 'governor', 'of', 'illinois', 'a', 'democrat', 'or', 'a', 'republican']",bruce vincent rauner, Republican,994
is the process by which phagocytic cells enter the tissues from capillaries,"['is', 'the', 'process', 'by', 'which', 'phagocytic', 'cells', 'enter', 'the', 'tissues', 'from', 'capillaries']",chemotaxis, Chemotaxis,5338
jaya real name of sajan re phir jhoot mat bolo,"['jaya', 'real', 'name', 'of', 'sajan', 're', 'phir', 'jhoot', 'mat', 'bolo']",parvati vaze as jaya lokhande, Parvati Vaze,2468
kabul is the capital of the country that borders turkmenistan,"['kabul', 'is', 'the', 'capital', 'of', 'the', 'country', 'that', 'borders', 'turkmenistan']",, Islamic Republic of Afghanistan,1420
kenny chesney when the sun goes down album,"['kenny', 'chesney', 'when', 'the', 'sun', 'goes', 'down', 'album']",, When the Sun Goes Down,6128
